
Warhorse Heavy,Animal,plains,2
Warhorse Light,Animal,plains,1
Hyena,Animal,deserts,1
Leopard,Animal,forests,2
Lion,Animal,plains,3
Lizard,Animal,forests,1/6
Lizard Monitor,Animal,forests,2
Manta Ray,Animal,aquatic,1
Monkey,Animal,forests,1/6
Mule,Animal,plains,1
Octopus,Animal,aquatic,1
Octopus Giant,Animal,aquatic,8
Owl,Animal,forests,1/4
Pony,Animal,plains,1/4
Pony War,Animal,plains,1/2
Porpoise,Animal,aquatic,1/2
Rat,Animal,Any,1/8
Raven,Animal,forests,1/6
Rhinoceros,Animal,plains,4
Shark Medium,Animal,aquatic,1
Shark Large,Animal,aquatic,2
Shark Huge,Animal,aquatic,4
Constrictor Snake,Animal,forests,2
Constrictor Snake Giant,Animal,forests,5
Snake Tiny Viper,Animal,marshes,1/3
Snake Small Viper,Animal,marshes,1/2
Snake Medium Viper,Animal,marshes,1
Snake Large Viper,Animal,marshes,2
Snake Huge Viper,Animal,marshes,3
Squid,Animal,aquatic,1
Squid Giant,Animal,aquatic,9
Tiger,Animal,forests,4
Toad,Animal,marshes,1/10
Weasel,Animal,hills,1/4
Baleen Whale,Animal,aquatic,6
Cachalot Whale,Animal,aquatic,7
Orca,Animal,aquatic,5
Wolf,Animal,forests,1
Wolverine,Animal,forests,2
